"type","class","order","family","genus","sci_name_orig","sci_name_fb","nstocks"
"finfish","Actinopterygii","Perciformes","Scombridae","Scomberomorus","Scomberomorus sierra","Scomberomorus sierra",4
"finfish","Actinopterygii","Perciformes","Scombridae","Scomberomorus","Scomberomorus tritor","Scomberomorus tritor",2
"finfish","Actinopterygii","Pleuronectiformes","Scophthalmidae","Scophthalmus","Scophthalmus aquosus","Scophthalmus aquosus",1
"finfish","Actinopterygii","Pleuronectiformes","Scophthalmidae","Scophthalmus","Scophthalmus rhombus","Scophthalmus rhombus",4
"finfish","Elasmobranchii","Carcharhiniformes","Scyliorhinidae","Scyliorhinus","Scyliorhinus canicula","Scyliorhinus canicula",2
"invertebrate","Malacostraca","Decapoda","Portunidae","Scylla","Scylla serrata","Scylla serrata",5
"finfish","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","Sebastes alutus","Sebastes alutus",4
"finfish","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","Sebastes marinus","Sebastes caurinus",1
"finfish","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","Sebastes mentella","Sebastes mentella",1
"finfish","Actinopterygii","Perciformes","Carangidae","Selar","Selar crumenophthalmus","Selar crumenophthalmus",4
"finfish","Actinopterygii","Perciformes","Carangidae","Selaroides","Selaroides leptolepis","Selaroides leptolepis",5
"finfish","Actinopterygii","Perciformes","Carangidae","Selene","Selene dorsalis","Selene dorsalis",1
"finfish","Actinopterygii","Perciformes","Carangidae","Selene","Selene setapinnis","Selene setapinnis",2
"invertebrate","Bivalvia","Veneroida","Semelidae","Semele","Semele solida","Semele solida",1
"invertebrate","Cephalopoda","Sepiida","Sepiidae","Sepia","Sepia officinalis","Sepia officinalis",7
"invertebrate","Cephalopoda","Sepiida","Sepiidae","Sepia","Sepia pharaonis","Sepia pharaonis",3
"invertebrate","Cephalopoda","Teuthida","Loliginidae","Sepioteuthis","Sepioteuthis lessoniana","Sepioteuthis lessoniana",2
"finfish","Actinopterygii","Perciformes","Carangidae","Seriola","Seriola dumerili","Seriola dumerili",1
"finfish","Actinopterygii","Perciformes","Carangidae","Seriola","Seriola lalandi","Seriola lalandi",3
"finfish","Actinopterygii","Perciformes","Centrolophidae","Seriolella","Seriolella brama","Seriolella brama",1
"finfish","Actinopterygii","Perciformes","Centrolophidae","Seriolella","Seriolella caerulea","Seriolella caerulea",1
"finfish","Actinopterygii","Perciformes","Centrolophidae","Seriolella","Seriolella porosa","Seriolella porosa",1
"finfish","Actinopterygii","Perciformes","Centrolophidae","Seriolella","Seriolella punctata","Seriolella punctata",1
"finfish","Actinopterygii","Perciformes","Carangidae","Seriolina","Seriolina nigrofasciata","Seriolina nigrofasciata",2
"invertebrate","Malacostraca","Decapoda","Sicyoniidae","Sicyonia","Sicyonia brevirostris","Sicyonia brevirostris",1
"finfish","Actinopterygii","Pleuronectiformes","Soleidae","Solea","Solea solea","Solea solea",15
"invertebrate","Malacostraca","Decapoda","Solenoceridae","Solenocera","Solenocera agassizii","Solenocera agassizii",1
"finfish","Actinopterygii","Perciformes","Sparidae","Sparus","Sparus aurata","Sparus aurata",6
"finfish","Actinopterygii","Perciformes","Sphyraenidae","Sphyraena","Sphyraena barracuda","Sphyraena barracuda",2
"finfish","Actinopterygii","Perciformes","Sparidae","Spicara","Spicara maena","Spicara maena",1
"invertebrate","Bivalvia","Veneroida","Mactridae","Mactromeris","Spisula polynyma","Mactromeris polynyma",1
"invertebrate","Bivalvia","Veneroida","Mactridae","Spisula","Spisula solidissima","Spisula solidissima",2
"finfish","Actinopterygii","Perciformes","Sparidae","Spondyliosoma","Spondyliosoma cantharus","Spondyliosoma cantharus",4
"finfish","Actinopterygii","Clupeiformes","Clupeidae","Spratelloides","Spratelloides gracilis","Spratelloides gracilis",1
"finfish","Actinopterygii","Clupeiformes","Clupeidae","Sprattus","Sprattus sprattus","Sprattus sprattus",18
"finfish","Elasmobranchii","Squaliformes","Squalidae","Squalus","Squalus acanthias","Squalus acanthias",9
"finfish","Elasmobranchii","Squatiniformes","Squatinidae","Squatina","Squatina argentina","Squatina argentina",1
"invertebrate","Malacostraca","Stomatopoda","Squillidae","Squilla","Squilla mantis","Squilla mantis",1
"finfish","Actinopterygii","Perciformes","Sparidae","Stenotomus","Stenotomus chrysops","Stenotomus chrysops",1
"finfish","Actinopterygii","Tetraodontiformes","Monacanthidae","Stephanolepis","Stephanolepis cirrhifer","Stephanolepis cirrhifer",1
"finfish","Actinopterygii","Clupeiformes","Clupeidae","Clupea","Strangomera bentincki","Clupea bentincki",1
"finfish","Actinopterygii","Perciformes","Stromateidae","Stromateus","Stromateus fiatola","Stromateus fiatola",1
"finfish","Actinopterygii","Clupeiformes","Clupeidae","Tenualosa","Tenualosa ilisha","Tenualosa ilisha",4
"finfish","Actinopterygii","Clupeiformes","Clupeidae","Tenualosa","Tenualosa toli","Tenualosa toli",2
"finfish","Actinopterygii","Osmeriformes","Osmeridae","Thaleichthys","Thaleichthys pacificus","Thaleichthys pacificus",2
"invertebrate","Malacostraca","Decapoda","Scyllaridae","Thenus","Thenus orientalis","Thenus orientalis",1
"finfish","Actinopterygii","Gadiformes","Gadidae","Theragra","Theragra chalcogramma","Theragra chalcogramma",6
"finfish","Actinopterygii","Perciformes","Gempylidae","Thyrsites","Thyrsites atun","Thyrsites atun",5
"invertebrate","Bivalvia","Veneroida","Veneridae","Tivela","Tivela mactroides","Tivela mactroides",1
"invertebrate","Cephalopoda","Teuthida","Ommastrephidae","Todarodes","Todarodes pacificus","Todarodes pacificus",3
"invertebrate","Cephalopoda","Teuthida","Ommastrephidae","Todarodes","Todarodes sagittatus","Todarodes sagittatus",1
"finfish","Actinopterygii","Perciformes","Trachinidae","Trachinus","Trachinus draco","Trachinus draco",1
"finfish","Actinopterygii","Perciformes","Carangidae","Trachurus","Trachurus capensis","Trachurus capensis",2
"finfish","Actinopterygii","Perciformes","Carangidae","Trachurus","Trachurus japonicus","Trachurus japonicus",3
"finfish","Actinopterygii","Perciformes","Carangidae","Trachurus","Trachurus lathami","Trachurus lathami",2
"finfish","Actinopterygii","Perciformes","Carangidae","Trachurus","Trachurus mediterraneus","Trachurus mediterraneus",3
"finfish","Actinopterygii","Perciformes","Carangidae","Trachurus","Trachurus murphyi","Trachurus murphyi",3
"finfish","Actinopterygii","Perciformes","Carangidae","Trachurus","Trachurus symmetricus","Trachurus symmetricus",1
"finfish","Actinopterygii","Perciformes","Carangidae","Trachurus","Trachurus trachurus","Trachurus trachurus",11
"finfish","Actinopterygii","Perciformes","Carangidae","Trachurus","Trachurus trecae","Trachurus trecae",3
"invertebrate","Malacostraca","Decapoda","Penaeidae","Trachysalambria","Trachypenaeus curvirostris","Trachysalambria curvirostris",2
"finfish","Actinopterygii","Perciformes","Trichiuridae","Trichiurus","Trichiurus lepturus","Trichiurus lepturus",18
"finfish","Actinopterygii","Gadiformes","Gadidae","Trisopterus","Trisopterus esmarkii","Trisopterus esmarkii",3
"finfish","Actinopterygii","Gadiformes","Gadidae","Trisopterus","Trisopterus luscus","Trisopterus luscus",8
"finfish","Actinopterygii","Gadiformes","Gadidae","Trisopterus","Trisopterus minutus","Trisopterus minutus",1
"invertebrate","Gastropoda","Patellogastropoda","Turbinidae","Turbo","Turbo cornutus","Turbo cornutus",2
"finfish","Actinopterygii","Perciformes","Sciaenidae","Umbrina","Umbrina canariensis","Umbrina canariensis",1
"finfish","Actinopterygii","Perciformes","Sciaenidae","Umbrina","Umbrina canosai","Umbrina canosai",3
"finfish","Actinopterygii","Gadiformes","Phycidae","Urophycis","Urophycis brasiliensis","Urophycis brasiliensis",2
"finfish","Actinopterygii","Gadiformes","Phycidae","Urophycis","Urophycis chuss","Urophycis chuss",1
"finfish","Actinopterygii","Gadiformes","Phycidae","Urophycis","Urophycis tenuis","Urophycis tenuis",2
"finfish","Actinopterygii","Mugiliformes","Mugilidae","Moolgarda","Valamugil seheli","Moolgarda seheli",1
"invertebrate","Bivalvia","Veneroida","Veneridae","Venerupis","Venerupis pullastra","Venerupis pullastra",2
"invertebrate","Malacostraca","Decapoda","Penaeidae","Xiphopenaeus","Xiphopenaeus kroyeri","Xiphopenaeus kroyeri",3
"invertebrate","Malacostraca","Decapoda","Penaeidae","Xiphopenaeus","Xiphopenaeus riveti","Xiphopenaeus kroyeri",1
"finfish","Actinopterygii","Zeiformes","Zeidae","Zenopsis","Zenopsis nebulosus","Zenopsis nebulosa",1
"finfish","Actinopterygii","Zeiformes","Zeidae","Zeus","Zeus faber","Zeus faber",7
"invertebrate","Bivalvia","Ostreoida","Pectinidae","Zygochlamys","Zygochlamys patagonica","Zygochlamys patagonica",1
