"stockid","areaid","fao_code","fao_area","iso3","country","spp_code","sci_name_orig","sci_name_fb","comm_name","year1","year2","nyr","tl_mt_median","lh_catg","resilience","m","long_dd","lat_dd","yr_full","yr_over","yr_collapse"
"21-USA-SCB","21-USA",21,"Atlantic, Northwest","USA","United States of America","SCB","Argopecten irradians","Argopecten irradians","Atlantic bay scallop",1950,2015,66,2641,"Scallops, pectens","High",2.59635434293164,-71.125690270279,39.3021567909659,1950,1954,NA
"21-USA-SCP","21-USA",21,"Atlantic, Northwest","USA","United States of America","SCP","Stenotomus chrysops","Stenotomus chrysops","Scup",1950,2015,66,6737,"Miscellaneous demersal fishes","Medium",0.340476988834111,-71.125690270279,39.3021567909659,1964,1980,NA
"21-USA-SHA","21-USA",21,"Atlantic, Northwest","USA","United States of America","SHA","Alosa sapidissima","Alosa sapidissima","American shad",1950,2015,66,1014.5,"Shads","Low",0.570636282099394,-71.125690270279,39.3021567909659,1951,1961,NA
"21-USA-SPT","21-USA",21,"Atlantic, Northwest","USA","United States of America","SPT","Leiostomus xanthurus","Leiostomus xanthurus","Spot croaker",1950,2015,66,1707.5,"Miscellaneous demersal fishes","High",1.08454328555199,-71.125690270279,39.3021567909659,1955,NA,NA
"21-USA-SQI","21-USA",21,"Atlantic, Northwest","USA","United States of America","SQI","Illex illecebrosus","Illex illecebrosus","Northern shortfin squid",1976,2015,40,9173.5,"Miscellaneous coastal fishes","High",1.0385929914259,-71.125690270279,39.3021567909659,1991,NA,NA
"21-USA-SQL","21-USA",21,"Atlantic, Northwest","USA","United States of America","SQL","Loligo pealeii","Doryteuthis pealeii","Longfin squid",1975,2015,41,12490,"Miscellaneous coastal fishes","High",1.09977163334516,-71.125690270279,39.3021567909659,1984,NA,NA
"21-USA-STB","21-USA",21,"Atlantic, Northwest","USA","United States of America","STB","Morone saxatilis","Morone saxatilis","Striped bass",1950,2015,66,2831.5,"Miscellaneous diadromous fishes","Low",0.188686624490056,-71.125690270279,39.3021567909659,1960,1975,NA
"21-USA-STG","21-USA",21,"Atlantic, Northwest","USA","United States of America","STG","Cynoscion regalis","Cynoscion regalis","Squeteague(=Gray weakfish)",1950,2015,66,2243.5,"Miscellaneous demersal fishes","Medium",0.350717285721347,-71.125690270279,39.3021567909659,1968,1988,NA
"21-USA-TIL","21-USA",21,"Atlantic, Northwest","USA","United States of America","TIL","Lopholatilus chamaeleonticeps","Lopholatilus chamaeleonticeps","Great Northern tilefish",1950,2015,66,900.5,"Miscellaneous demersal fishes","Low",0.144125944523611,-71.125690270279,39.3021567909659,1989,NA,NA
"21-USA-USK","21-USA",21,"Atlantic, Northwest","USA","United States of America","USK","Brosme brosme","Brosme brosme","Tusk(=Cusk)",1950,2015,66,933.5,"Cods, hakes, haddocks","Low",0.224228574775959,-71.125690270279,39.3021567909659,1963,NA,NA
"21-USA-WIT","21-USA",21,"Atlantic, Northwest","USA","United States of America","WIT","Glyptocephalus cynoglossus","Glyptocephalus cynoglossus","Witch flounder",1950,2015,66,2420,"Flounders, halibuts, soles","Low",0.224851030266693,-71.125690270279,39.3021567909659,1979,NA,NA
"21-USA-YEL","21-USA",21,"Atlantic, Northwest","USA","United States of America","YEL","Limanda ferruginea","Limanda ferruginea","Yellowtail flounder",1950,2015,66,8065.5,"Flounders, halibuts, soles","Medium",0.219156861681078,-71.125690270279,39.3021567909659,1975,NA,NA
"27-BEL-BIB","27-BEL",27,"Atlantic, Northeast","BEL","Belgium","BIB","Trisopterus luscus","Trisopterus luscus","Pouting(=Bib)",1970,2015,46,500,"Cods, hakes, haddocks","Medium",0.800125710445419,2.70351621663824,51.466976489716,1977,NA,NA
"27-BEL-BLL","27-BEL",27,"Atlantic, Northeast","BEL","Belgium","BLL","Scophthalmus rhombus","Scophthalmus rhombus","Brill",1958,2015,58,326,"Flounders, halibuts, soles","Medium",0.676095997808932,2.70351621663824,51.466976489716,1964,NA,NA
"27-BEL-COD","27-BEL",27,"Atlantic, Northeast","BEL","Belgium","COD","Gadus morhua","Gadus morhua","Atlantic cod",1950,2015,66,8506.5,"Cods, hakes, haddocks","Medium",0.270287991797001,2.70351621663824,51.466976489716,1955,1980,NA
"27-BEL-CSH","27-BEL",27,"Atlantic, Northeast","BEL","Belgium","CSH","Crangon crangon","Crangon crangon","Common shrimp",1950,2015,66,1100,"Shrimps, prawns","Low",0.586378042108406,2.70351621663824,51.466976489716,1981,NA,NA
"27-BEL-CTC","27-BEL",27,"Atlantic, Northeast","BEL","Belgium","CTC","Sepia officinalis","Sepia officinalis","Common cuttlefish",1991,2015,25,434,"Miscellaneous demersal fishes","High",1.18985641272492,2.70351621663824,51.466976489716,2000,NA,NA
"27-BEL-DAB","27-BEL",27,"Atlantic, Northeast","BEL","Belgium","DAB","Limanda limanda","Limanda limanda","Common dab",1950,2015,66,600,"Flounders, halibuts, soles","Medium",0.361263931139785,2.70351621663824,51.466976489716,1996,NA,NA
"27-BEL-DGS","27-BEL",27,"Atlantic, Northeast","BEL","Belgium","DGS","Squalus acanthias","Squalus acanthias","Picked dogfish",1950,2015,66,578,"Sharks, rays, chimaeras","Very low",0.14385276637056,2.70351621663824,51.466976489716,1970,NA,NA
"27-BEL-FLE","27-BEL",27,"Atlantic, Northeast","BEL","Belgium","FLE","Platichthys flesus","Platichthys flesus","European flounder",1950,2015,66,297,"Flounders, halibuts, soles","Medium",0.249598015844045,2.70351621663824,51.466976489716,1957,1967,NA
