"","stockid","stocklong","country","region","area","fishery_type","taxa_group","kingdom","phylum","class","order","family","genus","species","comm_name","yr1","yr2","n","overfished","collapsed"
"277","RSNAPGM","Red snapper Gulf of Mexico","USA","US Southeast and Gulf","Gulf of Mexico","Other Marine","other marine percoidids","Animalia","Chordata","Actinopterygii","Perciformes","Lutjanidae","Lutjanus","Lutjanus campechanus","Red snapper",1872,2013,142,TRUE,TRUE
"278","RSNAPSATLC","Red snapper Southern Atlantic coast","USA","US Southeast and Gulf","Southern Atlantic coast","Other Marine","other marine percoidids","Animalia","Chordata","Actinopterygii","Perciformes","Lutjanidae","Lutjanus","Lutjanus campechanus","Red snapper",1950,2014,65,TRUE,TRUE
"279","RSOLE5AB","Rock sole Queen Charlotte Sound","Canada","Canada West Coast","Queen Charlotte Sound","Flatfish","pleuronectids","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Lepidopsetta","Lepidopsetta bilineata","Rock sole",1945,2014,70,FALSE,FALSE
"280","RSOLEGA","Rock sole Gulf of Alaska","USA","US Alaska","Gulf of Alaska","Flatfish","pleuronectids","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Lepidopsetta","Lepidopsetta bilineata","Rock sole",1977,2015,39,FALSE,FALSE
"281","RSOLEHSTR","Rock sole Hecate Strait","Canada","Canada West Coast","Hecate Strait","Flatfish","pleuronectids","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Lepidopsetta","Lepidopsetta bilineata","Rock sole",1945,2014,70,FALSE,FALSE
"282","RSQLOBSTERCSCH","Red squat lobster Central-Southern Chile","Chile","South America","Central-Southern Chile","Invertebrate","crabs-lobsters","Animalia","Arthropoda","Malacostraca","Decapoda","Munididae","Pleuroncodes","Pleuroncodes monodon","Red squat lobster",1968,2015,48,TRUE,TRUE
"283","SABLEFEBSAIGA","Sablefish Eastern Bering Sea / Aleutian Islands / Gulf of Alaska","USA","US Alaska","Eastern Bering Sea / Aleutian Islands / Gulf of Alaska","Other Marine","other scorpaenids","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Anoplopomatidae","Anoplopoma","Anoplopoma fimbria","Sablefish",1960,2015,56,FALSE,FALSE
"284","SABLEFPCAN","Sablefish Pacific Coast of Canada","Canada","Canada West Coast","Pacific Coast of Canada","Other Marine","other scorpaenids","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Anoplopomatidae","Anoplopoma","Anoplopoma fimbria","Sablefish",1965,2010,46,FALSE,FALSE
"285","SABLEFPCOAST","Sablefish Pacific Coast","USA","US West Coast","Pacific Coast","Other Marine","other scorpaenids","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Anoplopomatidae","Anoplopoma","Anoplopoma fimbria","Sablefish",1900,2015,116,FALSE,FALSE
"286","SAILEATL","Sailfish Eastern Atlantic","multinational","Atlantic Ocean","Eastern Atlantic","Tuna and Marlin","tuna-billfish","Animalia","Chordata","Actinopterygii","Perciformes","Istiophoridae","Istiophorus","Istiophorus albicans","Sailfish",1957,2008,52,TRUE,FALSE
"287","SAILWATL","Sailfish Western Atlantic","multinational","Atlantic Ocean","Western Atlantic","Tuna and Marlin","tuna-billfish","Animalia","Chordata","Actinopterygii","Perciformes","Istiophoridae","Istiophorus","Istiophorus albicans","Sailfish",1957,2008,52,TRUE,FALSE
"288","SARDINWA","Sardinella West Africa","multinational","West Africa","West Africa","Forage Fish","forage fish","Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Sardinella","Sardinella spp","Sardinella",1990,2010,21,TRUE,FALSE
"289","SARDPVIIIc-IXa","European pilchard ICES VIIIc-IXa","multinational","European Union","VIIIc-IXa","Forage Fish","forage fish","Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Sardina","Sardina pilchardus","European pilchard",1978,2016,39,TRUE,FALSE
"290","SBARSHARATL","Sandbar shark Atlantic","USA","US Southeast and Gulf","Atlantic","Sharks Rays and Skates","elasmobranchs","Animalia","Chordata","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus","Carcharhinus plumbeus","Sandbar shark",1975,2004,30,TRUE,FALSE
"291","SBELLYROCKPCOAST","Shortbelly rockfish Pacific Coast","USA","US West Coast","Pacific Coast","Rockfish","sebastids","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","Sebastes jordani","Shortbelly rockfish",1950,2005,56,FALSE,FALSE
"292","SBT","Southern bluefin tuna Southern Oceans","multinational","Indian Ocean","Southern Oceans","Tuna and Marlin","tuna-billfish","Animalia","Chordata","Actinopterygii","Perciformes","Scombridae","Thunnus","Thunnus maccoyii","Southern bluefin tuna",1952,2014,63,TRUE,FALSE
"293","SBWHITACIR","Southern blue whiting Campbell Island Rise","New Zealand","New Zealand","New Zealand - Campbell Island Rise","Gadids","gadids","Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Micromesistius","Micromesistius australis","Southern blue whiting",1977,2013,37,TRUE,FALSE
"294","SBWHITARGS","Southern blue whiting Southern Argentina","Argentina","South America","Southern Argentina","Gadids","gadids","Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Micromesistius","Micromesistius australis","Southern blue whiting",1987,2014,28,TRUE,TRUE
"295","SBWHITCH","Southern blue whiting Chile","Chile","South America","Central-Southern Chile","Gadids","gadids","Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Micromesistius","Micromesistius australis","Southern blue whiting",1978,2016,39,TRUE,FALSE
"296","SCALL5ZMAB","Sea scallop Georges Bank and Mid-Atlantic Bight","USA","US East Coast","Georges Bank and Mid-Atlantic Bight","Invertebrate","bivalves-gastropods","Animalia","Mollusca","Bivalvia","Pectinida","Pectinidae","Placopecten","Placopecten magellanicus","Sea scallop",1975,2013,39,TRUE,TRUE
"297","SCALLGB","Sea scallop Georges Bank","Canada","Canada East Coast","Georges Bank","Invertebrate","bivalves-gastropods","Animalia","Mollusca","Bivalvia","Pectinida","Pectinidae","Placopecten","Placopecten magellanicus","Sea scallop",1986,2013,28,TRUE,FALSE
"298","SCMPBP","Scampi Bay of Plenty","New Zealand","New Zealand","Bay of Plenty","Invertebrate","crabs-lobsters","Animalia","Arthropoda","Malacostraca","Decapoda","Nephropidae","Metanephrops","Metanephrops challengeri","Scampi",1985,2012,28,FALSE,FALSE
"299","SCMPMB","Scampi Mernoo Bank","New Zealand","New Zealand","Mernoo Bank","Invertebrate","crabs-lobsters","Animalia","Arthropoda","Malacostraca","Decapoda","Nephropidae","Metanephrops","Metanephrops challengeri","Scampi",1989,2014,26,FALSE,FALSE
"300","SCMPWHB","Scampi Wairapa/Hawke Bay","New Zealand","New Zealand","Wairarapa/Hawke Bay","Invertebrate","crabs-lobsters","Animalia","Arthropoda","Malacostraca","Decapoda","Nephropidae","Metanephrops","Metanephrops challengeri","Scampi",1985,2012,28,FALSE,FALSE
"301","SCUPNWATLC","Scup Atlantic Coast","USA","US East Coast","Northwestern Atlantic Coast","Other Marine","other marine percoidids","Animalia","Chordata","Actinopterygii","Perciformes","Sparidae","Stenotomus","Stenotomus chrysops","Scup",1984,2014,31,TRUE,TRUE
"302","SDOGATLC","Spiny dogfish Atlantic Coast","USA","US East Coast","Atlantic Coast","Sharks Rays and Skates","elasmobranchs","Animalia","Chordata","Elasmobranchii","Squaliformes","Squalidae","Squalus","Squalus acanthias","Spiny dogfish",1991,2015,24,TRUE,FALSE
"303","SEELNSSA1","Sand eel SA 1","multinational","European Union","Sandeel Area 1","Forage Fish","forage fish","Animalia","Chordata","Actinopterygii","Perciformes","Ammodytidae","Ammodytes","Ammodytes marinus","Sand eel",1983,2016,34,TRUE,FALSE
"304","SEELNSSA2","Sand eel SA 2","multinational","European Union","Sandeel Area 2","Forage Fish","forage fish","Animalia","Chordata","Actinopterygii","Perciformes","Ammodytidae","Ammodytes","Ammodytes marinus","Sand eel",1983,2016,34,TRUE,FALSE
"305","SEELNSSA3","Sand eel SA 3","multinational","European Union","Sandeel Area 3","Forage Fish","forage fish","Animalia","Chordata","Actinopterygii","Perciformes","Ammodytidae","Ammodytes","Ammodytes marinus","Sand eel",1983,2016,34,TRUE,TRUE
"306","SFLOUNMATLC","Summer flounder Mid-Atlantic Coast","USA","US East Coast","Mid-Atlantic Coast","Flatfish","pleuronectids","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Paralichthyidae","Paralichthys","Paralichthys dentatus","Summer flounder",1982,2014,33,TRUE,TRUE
"307","SHAKE4VWX","Silver hake Scotian Shelf and Bay of Fundy","Canada","Canada East Coast","Scotian Shelf and Bay of Fundy","Gadids","gadids","Animalia","Chordata","Actinopterygii","Gadiformes","Merlucciidae","Merluccius","Merluccius bilinearis","Silver hake",1993,2015,23,FALSE,FALSE
"308","SILVERFISHSE","Silverfish Southeast Australia","Australia","Australia","Southeast Australia","Other Marine","other marine fish","Animalia","Chordata","Actinopterygii","Perciformes","Centrolophidae","Seriolella","Seriolella punctata","Silverfish",1980,2014,35,FALSE,FALSE
"309","SKJCIO","Skipjack tuna Indian Ocean","multinational","Indian Ocean","Indian Ocean","Tuna and Marlin","tuna-billfish","Animalia","Chordata","Actinopterygii","Perciformes","Scombridae","Katsuwonus","Katsuwonus pelamis","skipjack tuna",1950,2011,62,TRUE,FALSE
"310","SKJCWPAC","Skipjack tuna Central Western Pacific","multinational","Pacific Ocean","Central Western Pacific Ocean","Tuna and Marlin","tuna-billfish","Animalia","Chordata","Actinopterygii","Perciformes","Scombridae","Katsuwonus","Katsuwonus pelamis","Skipjack tuna",1972,2015,44,FALSE,FALSE
"311","SKJEATL","Skipjack tuna Eastern Atlantic","multinational","Atlantic Ocean","Eastern Atlantic","Tuna and Marlin","tuna-billfish","Animalia","Chordata","Actinopterygii","Perciformes","Scombridae","Katsuwonus","Katsuwonus pelamis","Skipjack tuna",1950,2006,57,FALSE,FALSE
"312","SKJWATL","Skipjack tuna Western Atlantic","multinational","Atlantic Ocean","Western Atlantic","Tuna and Marlin","tuna-billfish","Animalia","Chordata","Actinopterygii","Perciformes","Scombridae","Katsuwonus","Katsuwonus pelamis","Skipjack tuna",1950,2014,65,FALSE,FALSE
"313","SMOOTHOREOBP","Smooth Oreo Bounty Plateau","New Zealand","New Zealand","Bounty Plateau","Other Marine","other marine fish","Animalia","Chordata","Actinopterygii","Zeiformes","Oreosomatidae","Pseudocyttus","Pseudocyttus maculatus","Smooth oreo",1983,2008,26,FALSE,FALSE
"314","SMOOTHOREOCR","Smooth oreo Chatham Rise","New Zealand","New Zealand","Chatham Rise","Other Marine","other marine fish","Animalia","Chordata","Actinopterygii","Zeiformes","Oreosomatidae","Pseudocyttus","Pseudocyttus maculatus","Smooth oreo",1955,2013,59,FALSE,FALSE
"315","SMOOTHOREOEPR","Smooth Oreo East Pukaki Rise","New Zealand","New Zealand","East Pukaki Rise","Other Marine","other marine fish","Animalia","Chordata","Actinopterygii","Zeiformes","Oreosomatidae","Pseudocyttus","Pseudocyttus maculatus","Smooth oreo",1973,2006,34,FALSE,FALSE
"316","SMOOTHOREOSLD","Smooth Oreo Southland","New Zealand","New Zealand","Southland","Other Marine","other marine fish","Animalia","Chordata","Actinopterygii","Zeiformes","Oreosomatidae","Pseudocyttus","Pseudocyttus maculatus","Smooth oreo",1973,2007,35,FALSE,FALSE
"317","SMOOTHOREOWECR","Smooth oreo West end of Chatham Rise","New Zealand","New Zealand","West end of Chatham Rise","Other Marine","other marine fish","Animalia","Chordata","Actinopterygii","Zeiformes","Oreosomatidae","Pseudocyttus","Pseudocyttus maculatus","Smooth oreo",1965,2009,45,FALSE,FALSE
"318","SNOSESHARATL","Atlantic sharpnose shark Atlantic","USA","US Southeast and Gulf","Atlantic","Sharks Rays and Skates","elasmobranchs","Animalia","Chordata","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Rhizoprionodon","Rhizoprionodon terraenovae","Atlantic sharpnose shark",1950,2005,56,FALSE,FALSE
"319","SNOWCRABBS","Snow crab Bering Sea","USA","US Alaska","Bering Sea","Invertebrate","crabs-lobsters","Animalia","Arthropoda","Malacostraca","Decapoda","Oregoniidae","Chionoecetes","Chionoecetes opilio","Snow crab",1979,2015,37,FALSE,FALSE
"320","SNOWGROUPSATLC","Snowy grouper Southern Atlantic coast","USA","US Southeast and Gulf","Southern Atlantic coast","Other Marine","other marine percoidids","Animalia","Chordata","Actinopterygii","Perciformes","Serranidae","Epinephelus","Epinephelus niveatus","Snowy grouper",1974,2013,40,TRUE,FALSE
"321","SNROCKPCOAST","Splitnose Rockfish Pacific Coast","USA","US West Coast","Pacific Coast","Rockfish","sebastids","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","Sebastes diploproa","Splitnose Rockfish",1905,2009,105,FALSE,FALSE
"322","SOLECS","Common sole Celtic Sea","multinational","European Union","Celtic Sea","Flatfish","pleuronectids","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Soleidae","Solea","Solea solea","Common sole",1971,2016,46,FALSE,FALSE
"323","SOLEIIIa-2224","Common sole 22-24-IIIa","multinational","European Union","22-24-IIIa","Flatfish","pleuronectids","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Soleidae","Solea","Solea solea","Common sole",1984,2016,33,TRUE,FALSE
"324","SOLEIS","Common sole Irish Sea","multinational","European Union","Irish Sea","Flatfish","pleuronectids","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Soleidae","Solea","Solea solea","Common sole",1970,2016,47,TRUE,FALSE
"325","SOLENS","Common sole North Sea","multinational","European Union","North Sea","Flatfish","pleuronectids","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Soleidae","Solea","Solea solea","Common sole",1957,2016,60,FALSE,FALSE
"326","SOLEVIId","Common sole ICES VIId","multinational","European Union","Eastern English Channel","Flatfish","pleuronectids","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Soleidae","Solea","Solea solea","Common sole",1982,2016,35,FALSE,FALSE
"327","SOLEVIIe","Common sole Western English Channel","multinational","European Union","Western English Channel","Flatfish","pleuronectids","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Soleidae","Solea","Solea solea","Common sole",1969,2016,48,FALSE,FALSE
"328","SOLEVIIIab","Common sole VIIIab","multinational","European Union","VIIIab","Flatfish","pleuronectids","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Soleidae","Solea","Solea solea","Common sole",1984,2016,33,FALSE,FALSE
"329","SOUTHHAKECH","Southern hake Chile","Chile","South America","Central-Southern Chile","Gadids","gadids","Animalia","Chordata","Actinopterygii","Gadiformes","Merlucciidae","Merluccius","Merluccius australis","Southern hake",1977,2014,38,FALSE,FALSE
"330","SOUTHHAKECR","Southern hake Chatham Rise","New Zealand","New Zealand","Chatham Rise","Gadids","gadids","Animalia","Chordata","Actinopterygii","Gadiformes","Merlucciidae","Merluccius","Merluccius australis","Southern hake",1974,2012,39,FALSE,FALSE
"331","SOUTHHAKESA","Southern hake Sub-Antarctic","New Zealand","New Zealand","Sub-Antarctic","Gadids","gadids","Animalia","Chordata","Actinopterygii","Gadiformes","Merlucciidae","Merluccius","Merluccius australis","Southern hake",1974,2014,41,FALSE,FALSE
"332","SOUTHHAKEWCSI","Southern hake West Coast South Island","New Zealand","New Zealand","West Coast South Island","Gadids","gadids","Animalia","Chordata","Actinopterygii","Gadiformes","Merlucciidae","Merluccius","Merluccius australis","Southern hake",1973,2012,40,FALSE,FALSE
"333","SPANMACKGM","Spanish mackerel Gulf of Mexico","USA","US Southeast and Gulf","Gulf of Mexico","Tuna and Marlin","carangids-mackerels","Animalia","Chordata","Actinopterygii","Perciformes","Scombridae","Scomberomorus","Scomberomorus maculatus","Spanish mackerel",1886,2011,126,FALSE,FALSE
"334","SPANMACKSATLC","Spanish mackerel Southern Atlantic Coast","USA","US Southeast and Gulf","Southern Atlantic coast","Tuna and Marlin","carangids-mackerels","Animalia","Chordata","Actinopterygii","Perciformes","Scombridae","Scomberomorus","Scomberomorus maculatus","Spanish mackerel",1950,2012,63,FALSE,FALSE
"335","SPANMACKSETO","Japanese Spanish mackerel Inland Sea of Japan","Japan","Russia Japan","Inland Sea of Japan","Tuna and Marlin","carangids-mackerels","Animalia","Chordata","Actinopterygii","Perciformes","Scombridae","Scomberomorus","Scomberomorus niphonius","Japanese Spanish mackerel",1987,2013,27,TRUE,TRUE
"336","SPHAKECH","South Pacific Hake Chile","Chile","South America","Central-Southern Chile","Gadids","gadids","Animalia","Chordata","Actinopterygii","Gadiformes","Merlucciidae","Merluccius","Merluccius gayi","south pacific hake",1940,2015,76,TRUE,FALSE
"337","SPRAT22-32","Sprat ICES Baltic Areas 22-32","multinational","European Union","Baltic Areas 22-32","Forage Fish","forage fish","Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Sprattus","Sprattus sprattus","Sprat",1974,2016,43,TRUE,FALSE
"338","SPRATNS","Sprat North Sea","multinational","European Union","North Sea","Forage Fish","forage fish","Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Sprattus","Sprattus sprattus","Sprat",1974,2016,43,TRUE,TRUE
"339","SPSDOGPCOAST","Spotted spiny dogfish Pacific Coast","USA","US West Coast","Pacific Coast","Sharks Rays and Skates","elasmobranchs","Animalia","Chordata","Elasmobranchii","Squaliformes","Squalidae","Squalus","Squalus suckleyi","Spotted spiny dogfish",1916,2011,96,FALSE,FALSE
"340","SPURDNEATL","Spurdog Northeast Atlantic","multinational","European Union","Northeast Atlantic","Sharks Rays and Skates","elasmobranchs","Animalia","Chordata","Elasmobranchii","Squaliformes","Squalidae","Squalus","Squalus acanthias","Spurdog",1905,2014,110,TRUE,FALSE
"341","SSTHORNHPCOAST","Shortspine thornyhead Pacific Coast","USA","US West Coast","Pacific Coast","Rockfish","sebastids","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastolobus","Sebastolobus alascanus","Shortspine thornyhead",1901,2013,113,FALSE,FALSE
"342","STFLOUNNPCOAST","Starry flounder Northern Pacific Coast","USA","US West Coast","Northern Pacific Coast","Flatfish","pleuronectids","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Platichthys","Platichthys stellatus","Starry flounder",1970,2005,36,FALSE,FALSE
"343","STFLOUNSPCOAST","Starry flounder Southern Pacific Coast","USA","US West Coast","Southern Pacific Coast","Flatfish","pleuronectids","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Platichthys","Platichthys stellatus","Starry flounder",1970,2005,36,FALSE,FALSE
"344","STMARLINIO","Striped marlin Indian Ocean","multinational","Indian Ocean","Indian Ocean","Tuna and Marlin","tuna-billfish","Animalia","Chordata","Actinopterygii","Perciformes","Istiophoridae","Kajikia","Kajikia audax","Striped marlin",1950,2011,62,TRUE,FALSE
"345","STMARLINNEPAC","Striped marlin Northeast Pacific","multinational","Pacific Ocean","Northeast Pacific","Tuna and Marlin","tuna-billfish","Animalia","Chordata","Actinopterygii","Perciformes","Istiophoridae","Kajikia","Kajikia audax","Striped marlin",1975,2009,35,FALSE,FALSE
"346","STMARLINSWPO","Striped marlin Southwestern Pacific Ocean","multinational","Pacific Ocean","Western Pacific Ocean","Tuna and Marlin","tuna-billfish","Animalia","Chordata","Actinopterygii","Perciformes","Istiophoridae","Kajikia","Kajikia audax","Striped marlin",1952,2011,60,FALSE,FALSE
"347","STMARLINWCNPAC","Striped marlin Western and Central North Pacific","Multinational","Pacific Ocean","Western and Central North Pacific","Tuna and Marlin","tuna-billfish","Animalia","Chordata","Actinopterygii","Perciformes","Istiophoridae","Kajikia","Kajikia audax","striped marlin",1975,2013,39,FALSE,FALSE
"348","STRIPEDBASSGOMCHATT","Striped bass Gulf of Maine / Cape Hatteras","USA","US East Coast","Gulf of Maine / Cape Hatteras","Other Marine","other marine percoidids","Animalia","Chordata","Actinopterygii","Perciformes","Moronidae","Morone","Morone saxatilis","Striped bass",1982,2012,31,TRUE,TRUE
"349","SURFMATLC","Atlantic surfclam Mid-Atlantic Coast","USA","US East Coast","Mid-Atlantic Coast","Invertebrate","bivalves-gastropods","Animalia","Mollusca","Bivalvia","Veneroida","Mactridae","Spisula","Spisula solidissima","Atlantic surfclam",1982,2011,30,FALSE,FALSE
"350","SWHITSE","School whiting Southeast Australia","Australia","Australia","Southeast Australia","Other Marine","other marine percoidids","Animalia","Chordata","Actinopterygii","Perciformes","Sillaginidae","Sillago","Sillago flindersi","School whiting",1947,2008,62,FALSE,FALSE
"351","SWORDEPAC","Swordfish Eastern Pacific","multinational","Pacific Ocean","Eastern Pacific","Tuna and Marlin","tuna-billfish","Animalia","Chordata","Actinopterygii","Perciformes","Xiphiidae","Xiphias","Xiphias gladius","swordfish",1951,2012,62,FALSE,FALSE
"352","SWORDIO","Swordfish Indian Ocean","multinational","Indian Ocean","Indian Ocean","Tuna and Marlin","tuna-billfish","Animalia","Chordata","Actinopterygii","Perciformes","Xiphiidae","Xiphias","Xiphias gladius","swordfish",1950,2012,63,FALSE,FALSE
"353","SWORDMED","Swordfish Mediterranean Sea","multinational","Mediterranean-Black Sea","Mediterranean Sea","Tuna and Marlin","tuna-billfish","Animalia","Chordata","Actinopterygii","Perciformes","Xiphiidae","Xiphias","Xiphias gladius","Swordfish",1987,2008,22,FALSE,FALSE
"354","SWORDNATL","Swordfish North Atlantic","multinational","Atlantic Ocean","Northern Atlantic","Tuna and Marlin","tuna-billfish","Animalia","Chordata","Actinopterygii","Perciformes","Xiphiidae","Xiphias","Xiphias gladius","Swordfish",1950,2012,63,FALSE,FALSE
"355","SWORDNPAC","Swordfish North Pacific","Multinational","Pacific Ocean","North Pacific Ocean","Tuna and Marlin","tuna-billfish","Animalia","Chordata","Actinopterygii","Perciformes","Xiphiidae","Xiphias","Xiphias gladius","swordfish",1951,2012,62,FALSE,FALSE
"356","SWORDSATL","Swordfish South Atlantic","multinational","Atlantic Ocean","South Atlantic","Tuna and Marlin","tuna-billfish","Animalia","Chordata","Actinopterygii","Perciformes","Xiphiidae","Xiphias","Xiphias gladius","Swordfish",1956,2012,57,FALSE,FALSE
"357","TANNERCRABBSAI","Tanner crab Bering Sea and Aleutian Islands","USA","US Alaska","Bering Sea and Aleutian Islands","Invertebrate","crabs-lobsters","Animalia","Arthropoda","Malacostraca","Decapoda","Oregoniidae","Chionoecetes","Chionoecetes bairdi","Tanner crab",1965,2015,51,FALSE,FALSE
"358","TARAKNZ","Tarakihi New Zealand","New Zealand","New Zealand","Sub-Antarctic","Other Marine","other marine percoidids","Animalia","Chordata","Actinopterygii","Perciformes","Cheilodactylidae","Nemadactylus","Nemadactylus macropterus","Tarakihi",1932,2007,76,FALSE,FALSE
"359","TIGERFLATSE","Tiger flathead Southeast Australia","Australia","Australia","Southeast Australia","Other Marine","other scorpaenids","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Platycephalidae","Neoplatycephalus","Neoplatycephalus richardsoni","Tiger flathead",1915,2015,101,FALSE,FALSE
"360","TILEMATLC","Tilefish Mid-Atlantic Coast","USA","US East Coast","Mid-Atlantic Coast","Other Marine","other marine percoidids","Animalia","Chordata","Actinopterygii","Perciformes","Malacanthidae","Lopholatilus","Lopholatilus chamaeleonticeps","Tilefish",1971,2012,42,TRUE,FALSE
"361","TILESATLC","Tilefish Southern Atlantic coast","USA","US Southeast and Gulf","Southern Atlantic coast","Other Marine","other marine percoidids","Animalia","Chordata","Actinopterygii","Perciformes","Malacanthidae","Lopholatilus","Lopholatilus chamaeleonticeps","Tilefish",1962,2014,53,TRUE,FALSE
"362","TREVALLYTRE7","Trevally New Zealand Areas TRE 7","New Zealand","New Zealand","New Zealand Areas TRE 7","Other Marine","carangids-mackerels","Animalia","Chordata","Actinopterygii","Perciformes","Carangidae","Pseudocaranx","Pseudocaranx dentex","Trevally",1944,2014,71,FALSE,FALSE
"363","VSNAPGM","Vermilion snapper Gulf of Mexico","USA","US Southeast and Gulf","Gulf of Mexico","Other Marine","other marine percoidids","Animalia","Chordata","Actinopterygii","Perciformes","Lutjanidae","Rhomboplites","Rhomboplites aurorubens","Vermilion snapper",1950,2014,65,FALSE,FALSE
"364","VSNAPSATLC","Vermilion snapper Southern Atlantic coast","USA","US Southeast and Gulf","Southern Atlantic coast","Other Marine","other marine percoidids","Animalia","Chordata","Actinopterygii","Perciformes","Lutjanidae","Rhomboplites","Rhomboplites aurorubens","Vermilion snapper",1946,2012,67,FALSE,FALSE
"365","WANGLVIIIc-IXa","White anglerfish VIIIc-IXa","multinational","European Union","VIIIc-IXa","Other Marine","other marine fish","Animalia","Chordata","Actinopterygii","Lophiiformes","Lophiidae","Lophius","Lophius piscatorius","White anglerfish",1980,2016,37,TRUE,FALSE
"366","WAREHOUESE","Blue Warehou Eastern half of Southeast Australia","Australia","Australia","Eastern half of Southeast Australia","Other Marine","other marine fish","Animalia","Chordata","Actinopterygii","Perciformes","Centrolophidae","Seriolella","Seriolella brama","Blue Warehou",1986,2008,23,FALSE,FALSE
"367","WAREHOUWSE","Blue Warehou Western half of Southeast Australia","Australia","Australia","Western half of Southeast Australia","Other Marine","other marine fish","Animalia","Chordata","Actinopterygii","Perciformes","Centrolophidae","Seriolella","Seriolella brama","Blue Warehou",1986,2008,23,TRUE,FALSE
"368","WEAKFISHATLC","Weakfish Atlantic Coast","USA","US East Coast","Atlantic Coast","Other Marine","other marine percoidids","Animalia","Chordata","Actinopterygii","Perciformes","Sciaenidae","Cynoscion","Cynoscion regalis","Weakfish",1981,2008,28,TRUE,TRUE
"369","WHAKEGBGOM","White hake Georges Bank / Gulf of Maine","USA","US East Coast","Gulf of Maine / Georges Bank","Gadids","gadids","Animalia","Chordata","Actinopterygii","Gadiformes","Phycidae","Urophycis","Urophycis tenuis","White hake",1963,2014,52,TRUE,FALSE
"370","WHITNS-VIId","Whiting NS-VIId","multinational","European Union","IV and VIId","Gadids","gadids","Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Merlangius","Merlangius merlangus","Whiting",1990,2016,27,FALSE,FALSE
"371","WHITVIa","Whiting ICES VIa","multinational","European Union","West of Scotland","Gadids","gadids","Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Merlangius","Merlangius merlangus","Whiting",1981,2016,36,TRUE,TRUE
"372","WINDOWGOMGB","Windowpane flounder - Gulf of Maine / Georges Bank","USA","US East Coast","Gulf of Maine / Georges Bank","Flatfish","pleuronectids","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Scophthalmidae","Scophthalmus","Scophthalmus aquosus","Windowpane",1975,2007,33,TRUE,TRUE
"373","WINDOWSNEMATL","Windowpane Southern New England-Mid Atlantic","USA","US East Coast","Southern New England /Mid Atlantic","Flatfish","pleuronectids","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Scophthalmidae","Scophthalmus","Scophthalmus aquosus","Windowpane",1975,2007,33,TRUE,FALSE
"374","WINFLOUN5Z","Winter Flounder NAFO-5Z","USA","US East Coast","Georges Bank","Flatfish","pleuronectids","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Pseudopleuronectes","Pseudopleuronectes americanus","Winter Flounder",1982,2014,33,TRUE,FALSE
